"ID","時間","類型","描述","模組","IP位址","結果","風險等級","使用者ID","使用者名稱","使用者信箱","詳細資料"
"288","2025-08-26 11:20:20","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"285","2025-08-26 11:19:41","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"286","2025-08-26 11:19:41","view_activity_export","執行操作: view_activity_export","","172.19.0.1","成功","極低","","系統","",""
"287","2025-08-26 11:19:41","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"283","2025-08-26 11:14:18","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"284","2025-08-26 11:14:18","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"280","2025-08-26 11:14:08","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"281","2025-08-26 11:14:08","view_activity_export","執行操作: view_activity_export","","172.19.0.1","成功","極低","","系統","",""
"282","2025-08-26 11:14:08","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"274","2025-08-26 11:14:03","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"275","2025-08-26 11:14:03","view_activity_export","執行操作: view_activity_export","","172.19.0.1","成功","極低","","系統","",""
"276","2025-08-26 11:14:03","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"277","2025-08-26 11:14:03","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"278","2025-08-26 11:14:03","view_activity_logs","執行操作: view_activity_logs","","172.19.0.1","成功","極低","","系統","",""
"279","2025-08-26 11:14:03","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"271","2025-08-26 11:13:56","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"272","2025-08-26 11:13:56","view_activity_logs","執行操作: view_activity_logs","","172.19.0.1","成功","極低","","系統","",""
"273","2025-08-26 11:13:56","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"268","2025-08-26 11:13:55","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"269","2025-08-26 11:13:55","view_activity_export","執行操作: view_activity_export","","172.19.0.1","成功","極低","","系統","",""
"270","2025-08-26 11:13:55","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"266","2025-08-26 11:12:37","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"267","2025-08-26 11:12:37","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"263","2025-08-26 11:12:27","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"264","2025-08-26 11:12:27","view_activity_export","執行操作: view_activity_export","","172.19.0.1","成功","極低","","系統","",""
"265","2025-08-26 11:12:27","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"261","2025-08-26 11:07:53","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"262","2025-08-26 11:07:53","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"259","2025-08-26 11:07:38","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"260","2025-08-26 11:07:38","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
